"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Klebsiella pneumoniae","MYC",0.2075,-0.1145,0.043,TRUE,TRUE,"novel",FALSE
"s  Aquirufa sp. 9H-EGSE","CTNNB1",-0.4875,-0.0642,0.2922,FALSE,TRUE,"novel",FALSE
"s  Aquirufa sp. 9H-EGSE","MYC",-0.4875,0.0027,0.9726,FALSE,TRUE,"novel",FALSE
"s  Limnohabitans sp. 63ED37-2","CTNNB1",-0.4489,-0.107,0.0601,FALSE,TRUE,"novel",FALSE
"s  Limnohabitans sp. 63ED37-2","MYC",-0.4489,-0.0062,0.9319,FALSE,TRUE,"novel",FALSE
"s  Limnohabitans sp. 103DPR2","CTNNB1",-0.4483,-0.0951,0.1005,FALSE,TRUE,"novel",FALSE
"s  Limnohabitans sp. 103DPR2","MYC",-0.4483,-0.0014,0.9858,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas sp. OE 28.3","CTNNB1",-0.4384,-0.1038,0.0694,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas sp. OE 28.3","MYC",-0.4384,0.0321,0.6348,FALSE,TRUE,"novel",FALSE
"s  Candidatus Planktophila sulfonica","CTNNB1",-0.4213,-0.0295,0.6642,FALSE,TRUE,"novel",FALSE
"s  Candidatus Planktophila sulfonica","MYC",-0.4213,0.0173,0.8063,FALSE,TRUE,"novel",FALSE
"s  Sphingomonas panacisoli","CTNNB1",-0.4206,-0.0775,0.1909,FALSE,TRUE,"novel",FALSE
"s  Sphingomonas panacisoli","MYC",-0.4206,0.0274,0.6869,FALSE,TRUE,"novel",FALSE
"s  Mycolicibacterium phocaicum","MYC",-0.3962,-0.0271,0.6905,FALSE,TRUE,"novel",FALSE
"s  Aurantimicrobium photophilum","CTNNB1",-0.3919,-0.0345,0.6056,FALSE,TRUE,"novel",FALSE
"s  Aurantimicrobium photophilum","MYC",-0.3919,0.0066,0.9291,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. Adler-ghost","CTNNB1",-0.3897,-0.0719,0.2291,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. Adler-ghost","MYC",-0.3897,0.0209,0.7632,FALSE,TRUE,"novel",FALSE
"s  Rhodoluna limnophila","CTNNB1",-0.3816,-0.016,0.8214,FALSE,TRUE,"novel",FALSE
"s  Rhodoluna limnophila","MYC",-0.3816,-0.0026,0.9731,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas stutzeri","MYC",-0.3796,-0.0763,0.199,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. JS-JIR-II-b4","CTNNB1",-0.379,-0.0539,0.3892,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. JS-JIR-II-b4","MYC",-0.379,0.0129,0.8556,FALSE,TRUE,"novel",FALSE
"s  Candidatus Planktophila dulcis","CTNNB1",-0.3701,-0.0064,0.9301,FALSE,TRUE,"novel",FALSE
"s  Candidatus Planktophila dulcis","MYC",-0.3701,0.0137,0.8487,FALSE,TRUE,"novel",FALSE
"s  Rhodoluna lacicola","CTNNB1",-0.3636,-0.0152,0.8308,FALSE,TRUE,"novel",FALSE
"s  Rhodoluna lacicola","MYC",-0.3636,-0.0081,0.914,FALSE,TRUE,"novel",FALSE
"s  Pantoea agglomerans","CTNNB1",-0.3603,-0.0434,0.5036,FALSE,TRUE,"novel",FALSE
"s  Pantoea agglomerans","MYC",-0.3603,-0.0397,0.5455,FALSE,TRUE,"novel",FALSE
"s  Lactobacillus iners","CTNNB1",-0.3566,-0.0529,0.3994,FALSE,TRUE,"novel",FALSE
"s  Lactobacillus iners","MYC",-0.3566,-0.0804,0.1721,FALSE,TRUE,"novel",FALSE
"s  Candidatus Planktophila lacus","CTNNB1",-0.3559,-0.0942,0.1035,FALSE,TRUE,"novel",FALSE
"s  Candidatus Planktophila lacus","MYC",-0.3559,-0.0299,0.6581,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. MWH-Aus1W21","CTNNB1",-0.3543,-0.0345,0.6051,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. MWH-Aus1W21","MYC",-0.3543,0.0163,0.8178,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter asymbioticus","CTNNB1",-0.3453,-0.0143,0.8415,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter asymbioticus","MYC",-0.3453,0.0029,0.9696,FALSE,TRUE,"novel",FALSE
"s  Sphingorhabdus lacus","CTNNB1",-0.343,-0.0312,0.6452,FALSE,TRUE,"novel",FALSE
"s  Sphingorhabdus lacus","MYC",-0.343,-0.0189,0.7863,FALSE,TRUE,"novel",FALSE
"s  Corynebacterium sp. NML98-0116","CTNNB1",-0.3428,-0.058,0.3479,FALSE,TRUE,"novel",FALSE
"s  Corynebacterium sp. NML98-0116","MYC",-0.3428,-0.0533,0.395,FALSE,TRUE,"novel",FALSE
"s  Rothia dentocariosa","CTNNB1",-0.341,-0.0886,0.1281,FALSE,TRUE,"novel",FALSE
"s  Rothia dentocariosa","MYC",-0.341,-0.0754,0.2051,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter difficilis","CTNNB1",-0.3343,-0.0302,0.6559,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter difficilis","MYC",-0.3343,-0.0046,0.9509,FALSE,TRUE,"novel",FALSE
"s  Ramlibacter tataouinensis","CTNNB1",-0.3334,-0.1082,0.0569,FALSE,TRUE,"novel",FALSE
"s  Ramlibacter tataouinensis","MYC",-0.3334,-0.0273,0.6883,FALSE,TRUE,"novel",FALSE
"s  Corynebacterium matruchotii","CTNNB1",-0.3332,-0.0774,0.1914,FALSE,TRUE,"novel",FALSE
"s  Corynebacterium matruchotii","MYC",-0.3332,-0.0221,0.7491,FALSE,TRUE,"novel",FALSE
"s  Clostridium botulinum","MYC",-0.3202,-0.0946,0.1022,FALSE,TRUE,"literature-supported",FALSE
"s  Salmonella enterica","MYC",-0.3178,-0.1085,0.0563,FALSE,TRUE,"literature-supported",FALSE
"s  Nocardioides sambongensis","CTNNB1",-0.3062,-0.0617,0.3136,FALSE,TRUE,"novel",FALSE
"s  Nocardioides sambongensis","MYC",-0.3062,-0.0044,0.9529,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter necessarius","CTNNB1",-0.3021,-0.0388,0.5555,FALSE,TRUE,"novel",FALSE
"s  Polynucleobacter necessarius","MYC",-0.3021,-0.0137,0.8481,FALSE,TRUE,"novel",FALSE
"s  Moraxella osloensis","MYC",-0.295,-0.1003,0.0808,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas fluorescens","CTNNB1",-0.2901,-0.1047,0.0666,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas fluorescens","MYC",-0.2901,-0.0759,0.2019,FALSE,TRUE,"novel",FALSE
"s  Fluviibacter phosphoraccumulans","CTNNB1",-0.2881,-0.0787,0.1834,FALSE,TRUE,"novel",FALSE
"s  Fluviibacter phosphoraccumulans","MYC",-0.2881,-0.0215,0.7555,FALSE,TRUE,"novel",FALSE
"s  Corynebacterium kroppenstedtii","MYC",-0.2873,-0.1027,0.0728,FALSE,TRUE,"novel",FALSE
"s  Leptolyngbya sp. 7M","MYC",-0.2843,-0.0823,0.1611,FALSE,TRUE,"novel",FALSE
"s  Actinomyces oris","CTNNB1",-0.2824,-0.1039,0.0692,FALSE,TRUE,"novel",FALSE
"s  Actinomyces oris","MYC",-0.2824,-0.0355,0.5955,FALSE,TRUE,"novel",FALSE
"s  Tepidimonas taiwanensis","CTNNB1",-0.2751,-0.0914,0.1152,FALSE,TRUE,"novel",FALSE
"s  Tepidimonas taiwanensis","MYC",-0.2751,-0.025,0.7159,FALSE,TRUE,"novel",FALSE
"s  Sphingomonas sp. FARSPH","CTNNB1",-0.2743,-0.0769,0.1947,FALSE,TRUE,"novel",FALSE
"s  Sphingomonas sp. FARSPH","MYC",-0.2743,-0.0288,0.6717,FALSE,TRUE,"novel",FALSE
"s  Corynebacterium coyleae","CTNNB1",-0.2685,-0.1062,0.0623,FALSE,TRUE,"novel",FALSE
"s  Streptococcus thermophilus","CTNNB1",-0.2681,-0.1054,0.0646,FALSE,TRUE,"literature-supported",FALSE
"s  Streptococcus thermophilus","MYC",-0.2681,-0.0341,0.6103,FALSE,TRUE,"literature-supported",FALSE
"s  Pseudomonas putida","MYC",-0.2674,-0.1049,0.0661,FALSE,TRUE,"novel",FALSE
